tipe_akun,kode_akun,nama,saldo_awal
Aktiva Lancar,110,Kas,0
Aktiva Lancar,120,Peluang Dagang,0
Aktiva Lancar,130,Biaya dibayar di muka,0
Aktiva Lancar,140,Persediaan,0
Aktiva Lancar,150,Pajak,0
Aktiva Lancar,160,Ayat Silang,0
Aktiva Lancar,170,Asuransi dibayar Dimuka,0
Aktiva Tetap,210,Tanah & Bangunan,0
Aktiva Tetap,220,Kendaraan,0
Aktiva Tetap,203,Inventaris Kantor,0
Aktiva Tetap,240,Inventaris Pabrik,0
Aktiva Tetap,250,Mesin & Peralatan,0
Aktiva Tetap,260,Investasi,0
Aktiva Tetap,270,Akumulasi Penyusutan,0
Kewajiban Lancar,310,Hutang,0
Aktiva Lancar,120-001,Piutang Dagang export,0
Aktiva Lancar,120-002,Piutang Serbuk,0
Aktiva Lancar,120-003,Piutang Lokal PPN,0
Aktiva Lancar,120-004,Piutang Lokal Non PPN,0
Aktiva Lancar,120-005,Piutang Lain-lain,0
Aktiva Lancar,120-006,Piutang Direksi,0
Aktiva Lancar,120-007,Piutang Direksi,0
Aktiva Lancar,120-008,Piutang antar DVC,0
Aktiva Lancar,130-001,Uang Muka Pembelian usaha / bahan baku,0
Aktiva Lancar,130-002,Uang Muka Pembelian mesin,0
Aktiva Lancar,130-003,Uang Muka Pembelian lain / Uang muka biaya lain-lain,0
Aktiva Lancar,140-001,Persediaan Bhn Baku AD,0
Aktiva Lancar,140-002,Persediaan Bhn Baku KD,0
Aktiva Lancar,140-003,Persediaan dalam proses (WIP) AD,0
Aktiva Lancar,140-004,Persediaan dalam proses (WIP) KD,0
Aktiva Lancar,140-005,Persediaan Brg jadi AD,0
Aktiva Lancar,140-006,Persediaan Brg jadi KD,0
Aktiva Lancar,140-007,"Persediaan bahan baku pembantu (lem, cat, amplas, alat packing)",0
Aktiva Lancar,150-001,PPN Masukan,0
Aktiva Lancar,150-002,Pajak Dibayar Dimuka,0
Aktiva Lancar,150-003,PPH Ps 22,0
Aktiva Lancar,150-004,PPH ps 25,0
Aktiva Lancar,150-005,PPH Ps 23,0
Aktiva Lancar,150-006,PPH 21,0
Aktiva Lancar,150-007,PPN Masukan yg blm dikembalikan,0
